0,4.22
0.16,4.38
0.32,4.52
0.48,4.45
0.64,4.41
0.8,4.34
0.96,4.28
1.12,4.26
1.28,4.25
1.44,4.24
1.6,4.25
1.76,4.35
1.92,4.38
2.08,4.38
2.24,4.36
2.4,4.38
2.56,4.32
2.72,4.3
2.88,4.22
3.04,4.19
3.2,4.19
3.36,4.16
3.52,4.1
3.68,4.11
3.84,4.16
4,4.14
4.16,4.15
4.32,4.15
4.48,4.15
4.64,4.15
4.8,4.15
4.96,4.16
5.12,4.18
5.28,4.18
5.44,4.17
5.6,4.13
5.76,4.11
5.92,4.11
6.08,4.12
6.24,4.12
6.4,4.11
6.56,4.11
6.72,4.11
6.88,4.11
7.04,4.1
7.2,4.1
7.36,4.11
7.52,4.12
7.68,4.13
7.84,4.13
8,4.13
8.16,4.15
8.32,4.18
8.48,4.13
8.64,4.13
8.8,4.12
8.96,4.1
9.12,4.08
9.28,4.05
9.44,4.04
9.6,4.03
9.76,4
9.92,3.97
10.08,3.99
10.24,3.98
10.4,4
10.56,4.02
10.72,4.02
10.88,4.01
11.04,4
11.2,3.99
11.36,3.99
11.52,3.97
11.68,3.98
11.84,3.97
12,3.99
12.16,4.02
12.32,4.07
12.48,4.12
12.64,4.21
12.8,4.23
12.96,4.28
13.12,4.35
13.28,4.43
13.44,4.49
13.6,4.61
13.76,4.71
13.92,4.81
14.08,4.9
14.24,4.95
14.4,4.99
14.56,5.02
14.72,5.04
14.88,5.06
15.04,5.07
15.2,5.09
15.36,5.11
15.52,5.12
15.68,5.11
15.84,5.12
16,5.12
16.16,5.08
16.32,4.99
16.48,4.9
16.64,4.81
16.8,4.73
16.96,4.64
17.12,4.56
17.28,4.48
17.44,4.4
17.6,4
17.76,3.99
17.92,4.02
18.08,4.03
18.24,4.06
18.4,4.09
18.56,4.13
18.72,4.17
18.88,4.18
19.04,4.16
19.2,4.3
19.36,4.38
19.52,4.39
19.68,4.39
19.84,4.42
20,4.43
20.16,4.42
20.32,4.4
20.48,4.45
20.64,4.49
20.8,4.53
20.96,4.57
21.12,4.92
21.28,4.98
21.44,5.04
21.6,5.09
21.76,5.16
21.92,5.2
22.08,5.27
22.24,5.35
22.4,5.36
22.56,5.4
22.72,5.44
22.88,5.48
23.04,5.53
23.2,5.56
23.36,5.61
23.52,5.66
23.68,5.7
23.84,5.74
24,5.77
24.16,5.81
24.32,5.85
24.48,5.89
24.64,5.93
24.8,5.98
24.96,6.04
25.12,6.1
25.28,6.16
25.44,6.22
25.6,6.28
25.76,6.32
25.92,6.35
26.08,6.38
26.24,6.39
26.4,6.41
26.56,6.43
26.72,6.09
26.88,6.45
27.04,6.09
27.2,6.08
27.36,6.1
27.52,6.11
27.68,6.11
27.84,6.1
28,6.09
28.16,6.1
28.32,6.1
28.48,6.11
28.64,6.12
28.8,6.12
28.96,6.12
29.12,6.13
29.28,6.12
29.44,6.11
29.6,6.12
29.76,6.13
29.92,6.13
30.08,6.14
30.24,6.15
30.4,6.16
30.56,6.16
30.72,6.17
30.88,6.17
31.04,6.18
31.2,6.19
31.36,6.2
31.52,6.21
31.68,6.21
31.84,6.21
32,6.22
32.16,6.22
32.32,6.23
32.48,6.22
32.64,6.21
32.8,6.2
32.96,6.21
33.12,6.2
33.28,6.19
33.44,6.18
33.6,6.16
33.76,6.12
33.92,6.08
34.08,6.02
34.24,5.93
34.4,6.01
34.56,5.78
34.72,5.7
34.88,5.67
35.04,5.63
35.2,5.58
35.36,5.53
35.52,5.48
35.68,5.42
35.84,5.39
36,5.34
36.16,5.29
36.32,5.24
36.48,5.18
36.64,5.12
36.8,5.06
36.96,5
37.12,4.92
37.28,4.84
37.44,4.77
37.6,4.7
37.76,4.61
37.92,4.39
38.08,4.24
38.24,4.13
38.39,4.08
